frequency,hour,stationname,weekday
0.0,17.0,Johnson Creek SB,Wednesday
0.0,8.0,Sunnyside SB,Wednesday
0.0,9.0,Johnson Creek SB,Thursday
2.0,18.0,Airportway WB to SB,Monday
0.0,19.0,Airportway WB to SB,Monday
0.0,12.0,Sunnyside SB,Thursday
0.0,2.0,Powell to I-205 NB,Thursday
0.0,3.0,Foster SB,Tuesday
0.0,16.0,Airportway EB to SB,Friday
0.0,4.0,Division SB,Monday
0.0,13.0,Airportway EB to SB,Thursday
4.0,7.0,Powell to I-205 NB,Thursday
0.0,6.0,Johnson Creek SB,Thursday
0.0,7.0,Columbia to I-205 NB,Saturday
0.0,12.0,Powell to I-205 NB,Monday
0.0,18.0,Division NB,Friday
0.0,19.0,Powell to I-205 NB,Sunday
0.0,5.0,Columbia to I-205 NB,Sunday
0.0,22.0,Johnson Creek SB,Thursday
4.0,12.0,Division NB,Wednesday
0.0,15.0,Johnson Cr NB,Thursday
0.0,19.0,Division SB,Saturday
0.0,19.0,Glisan to I-205 SB,Tuesday
0.0,17.0,Powell to I-205 NB,Wednesday
0.0,5.0,Johnson Cr NB,Monday
0.0,12.0,Sunnyside NB,Saturday
0.0,10.0,Columbia to I-205 NB,Saturday
0.0,21.0,Columbia to I-205 SB,Wednesday
0.0,23.0,Division SB,Sunday
0.0,15.0,Airportway WB to SB,Wednesday
2.0,15.0,Airportway WB to SB,Sunday
0.0,9.0,Foster SB,Monday
0.0,3.0,Glisan to I-205 SB,Saturday
0.0,20.0,Airportway WB to SB,Sunday
0.0,12.0,Division SB,Friday
0.0,13.0,Stark/Washington SB,Tuesday
0.0,5.0,Stark/Washington SB,Thursday
1.0,5.0,Glisan to I-205 SB,Friday
4.0,17.0,Sunnyside NB,Friday
0.0,21.0,Columbia to I-205 SB,Saturday
0.0,16.0,Foster SB,Friday
0.0,12.0,Foster NB,Tuesday
0.0,12.0,Stark/Washington SB,Tuesday
1.0,7.0,Division NB,Saturday
0.0,4.0,Foster SB,Friday
1.0,5.0,Airportway WB to SB,Friday
0.0,11.0,Sunnyside SB,Thursday
0.0,5.0,Johnson Cr NB,Friday
0.0,21.0,Airportway WB to SB,Monday
0.0,14.0,Powell Blvd SB,Monday
3.0,8.0,Division NB,Friday
0.0,5.0,Foster NB,Monday
1.0,18.0,Sunnyside NB,Wednesday
0.0,5.0,Sunnyside NB,Monday
1.0,15.0,Airportway EB to SB,Sunday
0.0,10.0,Division SB,Monday
1.0,3.0,Powell Blvd SB,Friday
0.0,20.0,Johnson Creek SB,Wednesday
0.0,18.0,Johnson Creek SB,Thursday
0.0,6.0,Division NB,Thursday
0.0,19.0,Johnson Creek SB,Sunday
0.0,21.0,Columbia to I-205 SB,Sunday
0.0,6.0,Glisan to I-205 SB,Tuesday
0.0,21.0,Airportway WB to SB,Sunday
0.0,13.0,Powell to I-205 NB,Monday
0.0,16.0,Johnson Cr NB,Friday
0.0,22.0,Sunnyside SB,Tuesday
0.0,21.0,Division NB,Wednesday
0.0,17.0,Johnson Cr NB,Tuesday
0.0,9.0,Johnson Cr NB,Monday
0.0,20.0,Airportway WB to SB,Tuesday
0.0,22.0,Columbia to I-205 NB,Saturday
0.0,13.0,Division SB,Saturday
0.0,18.0,Airportway WB to SB,Friday
0.0,3.0,Stark/Washington SB,Saturday
0.0,2.0,Division SB,Wednesday
0.0,20.0,Airportway WB to SB,Wednesday
0.0,22.0,Division NB,Monday
1.0,10.0,Sunnyside NB,Wednesday
0.0,13.0,Airportway WB to SB,Monday
0.0,11.0,Airportway WB to SB,Saturday
0.0,9.0,Division SB,Tuesday
4.0,13.0,Sunnyside NB,Thursday
0.0,9.0,Foster SB,Friday
3.0,11.0,Foster NB,Thursday
0.0,4.0,Sunnyside NB,Wednesday
2.0,5.0,Sunnyside NB,Tuesday
0.0,4.0,Columbia to I-205 NB,Thursday
2.0,14.0,Sunnyside NB,Tuesday
1.0,3.0,Foster NB,Monday
0.0,22.0,Powell to I-205 NB,Sunday
0.0,9.0,Division SB,Wednesday
0.0,6.0,Powell Blvd SB,Monday
0.0,6.0,Foster SB,Tuesday
0.0,20.0,Powell to I-205 NB,Sunday
0.0,20.0,Glisan to I-205 SB,Wednesday
0.0,9.0,Stark/Washington SB,Monday
0.0,17.0,Glisan to I-205 SB,Friday
0.0,0.0,Johnson Cr NB,Sunday
0.0,21.0,Columbia to I-205 SB,Wednesday
1.0,6.0,Foster NB,Wednesday
2.0,7.0,Division NB,Saturday
1.0,2.0,Powell to I-205 NB,Wednesday
0.0,9.0,Airportway WB to SB,Tuesday
0.0,2.0,Powell Blvd SB,Sunday
0.0,1.0,Johnson Creek SB,Wednesday
0.0,1.0,Glisan to I-205 SB,Sunday
1.0,14.0,Columbia to I-205 SB,Sunday
0.0,18.0,Stark/Washington SB,Saturday
0.0,12.0,Johnson Creek SB,Tuesday
0.0,10.0,Division SB,Sunday
0.0,2.0,Airportway EB to SB,Monday
0.0,15.0,Powell to I-205 NB,Saturday
1.0,12.0,Division NB,Friday
0.0,7.0,Johnson Creek SB,Friday
0.0,23.0,Glisan to I-205 SB,Sunday
0.0,21.0,Johnson Creek SB,Wednesday
0.0,11.0,Powell to I-205 NB,Thursday
0.0,19.0,Johnson Creek SB,Saturday
0.0,5.0,Airportway EB to SB,Sunday
0.0,16.0,Division NB,Monday
1.0,16.0,Powell Blvd SB,Saturday
0.0,23.0,Johnson Cr NB,Tuesday
0.0,8.0,Division SB,Wednesday
0.0,18.0,Airportway EB to SB,Friday
1.0,20.0,Sunnyside NB,Sunday
0.0,7.0,Powell Blvd SB,Wednesday
0.0,16.0,Powell Blvd SB,Friday
1.0,12.0,Sunnyside NB,Thursday
0.0,11.0,Airportway WB to SB,Thursday
0.0,21.0,Division NB,Sunday
0.0,13.0,Johnson Cr NB,Saturday
0.0,10.0,Sunnyside SB,Sunday
0.0,16.0,Foster NB,Wednesday
0.0,19.0,Airportway WB to SB,Tuesday
0.0,4.0,Sunnyside NB,Thursday
0.0,2.0,Glisan to I-205 SB,Monday
0.0,4.0,Columbia to I-205 NB,Friday
0.0,17.0,Columbia to I-205 NB,Friday
0.0,18.0,Stark/Washington SB,Wednesday
0.0,16.0,Powell to I-205 NB,Sunday
1.0,7.0,Sunnyside SB,Monday
0.0,22.0,Division SB,Sunday
0.0,6.0,Columbia to I-205 NB,Thursday
0.0,23.0,Sunnyside SB,Tuesday
0.0,2.0,Foster SB,Saturday
1.0,4.0,Foster NB,Monday
1.0,7.0,Stark/Washington SB,Friday
0.0,11.0,Airportway EB to SB,Wednesday
0.0,8.0,Division NB,Saturday
0.0,2.0,Glisan to I-205 SB,Tuesday
1.0,8.0,Columbia to I-205 SB,Thursday
0.0,6.0,Airportway WB to SB,Sunday
0.0,1.0,Johnson Cr NB,Thursday
1.0,11.0,Foster SB,Sunday
0.0,20.0,Airportway WB to SB,Tuesday
1.0,23.0,Glisan to I-205 SB,Saturday
0.0,6.0,Glisan to I-205 SB,Thursday
0.0,20.0,Glisan to I-205 SB,Wednesday
0.0,19.0,Foster NB,Friday
0.0,7.0,Sunnyside NB,Thursday
0.0,19.0,Stark/Washington SB,Tuesday
0.0,3.0,Johnson Cr NB,Friday
0.0,8.0,Stark/Washington SB,Sunday
0.0,20.0,Airportway EB to SB,Tuesday
0.0,16.0,Glisan to I-205 SB,Thursday
0.0,4.0,Airportway WB to SB,Wednesday
0.0,4.0,Airportway WB to SB,Saturday
0.0,12.0,Airportway WB to SB,Wednesday
2.0,4.0,Sunnyside NB,Friday
0.0,20.0,Stark/Washington SB,Friday
0.0,16.0,Division SB,Monday
0.0,8.0,Johnson Cr NB,Friday
0.0,10.0,Johnson Creek SB,Sunday
0.0,18.0,Airportway EB to SB,Wednesday
0.0,1.0,Airportway EB to SB,Wednesday
0.0,5.0,Stark/Washington SB,Monday
2.0,11.0,Sunnyside NB,Friday
0.0,18.0,Airportway EB to SB,Sunday
0.0,20.0,Powell Blvd SB,Thursday
0.0,16.0,Stark/Washington SB,Sunday
0.0,6.0,Airportway WB to SB,Tuesday
0.0,15.0,Columbia to I-205 NB,Sunday
0.0,12.0,Johnson Creek SB,Saturday
0.0,13.0,Glisan to I-205 SB,Friday
0.0,10.0,Johnson Creek SB,Wednesday
1.0,19.0,Sunnyside NB,Monday
1.0,22.0,Sunnyside NB,Friday
0.0,21.0,Powell Blvd SB,Thursday
0.0,1.0,Sunnyside SB,Monday
0.0,11.0,Johnson Cr NB,Sunday
0.0,14.0,Airportway WB to SB,Tuesday
0.0,19.0,Glisan to I-205 SB,Wednesday
0.0,0.0,Johnson Cr NB,Wednesday
0.0,14.0,Airportway EB to SB,Thursday
0.0,19.0,Johnson Creek SB,Wednesday
0.0,6.0,Airportway WB to SB,Monday
0.0,9.0,Division SB,Thursday
1.0,22.0,Sunnyside NB,Monday
0.0,19.0,Division SB,Monday
0.0,10.0,Airportway EB to SB,Wednesday
0.0,5.0,Columbia to I-205 SB,Thursday
0.0,3.0,Columbia to I-205 NB,Sunday
0.0,8.0,Johnson Creek SB,Tuesday
0.0,21.0,Foster SB,Saturday
1.0,9.0,Division NB,Sunday
0.0,7.0,Airportway EB to SB,Tuesday
0.0,18.0,Sunnyside SB,Sunday
0.0,8.0,Foster NB,Thursday
0.0,10.0,Glisan to I-205 SB,Sunday
0.0,10.0,Division NB,Sunday
0.0,1.0,Powell Blvd SB,Thursday
0.0,8.0,Foster SB,Thursday
0.0,23.0,Glisan to I-205 SB,Saturday
0.0,15.0,Foster NB,Monday
0.0,12.0,Johnson Creek SB,Sunday
0.0,20.0,Columbia to I-205 NB,Thursday
0.0,7.0,Division SB,Saturday
0.0,22.0,Airportway EB to SB,Tuesday
0.0,12.0,Columbia to I-205 NB,Tuesday
0.0,6.0,Sunnyside SB,Thursday
0.0,4.0,Sunnyside SB,Wednesday
0.0,1.0,Powell to I-205 NB,Wednesday
0.0,17.0,Johnson Creek SB,Tuesday
1.0,4.0,Airportway WB to SB,Thursday
0.0,1.0,Airportway EB to SB,Wednesday
0.0,15.0,Columbia to I-205 SB,Friday
0.0,11.0,Johnson Creek SB,Wednesday
1.0,11.0,Glisan to I-205 SB,Thursday
0.0,12.0,Airportway WB to SB,Thursday
1.0,17.0,Sunnyside NB,Saturday
0.0,20.0,Stark/Washington SB,Friday
0.0,18.0,Stark/Washington SB,Wednesday
0.0,13.0,Airportway EB to SB,Tuesday
0.0,18.0,Airportway EB to SB,Tuesday
0.0,16.0,Airportway EB to SB,Monday
0.0,20.0,Sunnyside NB,Thursday
0.0,6.0,Airportway EB to SB,Friday
2.0,15.0,Foster NB,Saturday
0.0,10.0,Johnson Creek SB,Saturday
1.0,7.0,Airportway WB to SB,Monday
0.0,14.0,Columbia to I-205 NB,Saturday
2.0,4.0,Powell Blvd SB,Monday
0.0,16.0,Powell Blvd SB,Tuesday
0.0,23.0,Columbia to I-205 SB,Wednesday
0.0,20.0,Foster NB,Thursday
0.0,9.0,Powell Blvd SB,Thursday
0.0,15.0,Stark/Washington SB,Sunday
0.0,13.0,Foster SB,Friday
0.0,11.0,Airportway EB to SB,Tuesday
0.0,1.0,Foster NB,Monday
2.0,15.0,Division NB,Sunday
0.0,8.0,Airportway WB to SB,Friday
0.0,6.0,Stark/Washington SB,Friday
0.0,13.0,Foster SB,Saturday
0.0,13.0,Division SB,Friday
0.0,11.0,Columbia to I-205 SB,Wednesday
1.0,12.0,Columbia to I-205 SB,Saturday
0.0,16.0,Powell to I-205 NB,Monday
0.0,3.0,Powell to I-205 NB,Saturday
0.0,2.0,Foster NB,Sunday
0.0,23.0,Powell Blvd SB,Sunday
0.0,19.0,Columbia to I-205 NB,Friday
0.0,6.0,Airportway EB to SB,Friday
1.0,9.0,Foster NB,Saturday
1.0,5.0,Stark/Washington SB,Monday
0.0,0.0,Glisan to I-205 SB,Sunday
0.0,19.0,Johnson Cr NB,Monday
0.0,4.0,Sunnyside SB,Saturday
0.0,10.0,Division SB,Saturday
0.0,4.0,Johnson Cr NB,Sunday
0.0,13.0,Foster SB,Tuesday
0.0,16.0,Division NB,Saturday
0.0,11.0,Johnson Creek SB,Friday
0.0,17.0,Powell Blvd SB,Sunday
0.0,20.0,Foster NB,Tuesday
0.0,22.0,Columbia to I-205 SB,Saturday
0.0,19.0,Foster SB,Wednesday
0.0,19.0,Division SB,Tuesday
0.0,8.0,Columbia to I-205 SB,Saturday
1.0,14.0,Sunnyside NB,Sunday
0.0,4.0,Sunnyside NB,Wednesday
0.0,22.0,Powell Blvd SB,Saturday
0.0,18.0,Sunnyside NB,Monday
0.0,16.0,Columbia to I-205 NB,Tuesday
2.0,20.0,Sunnyside NB,Wednesday
0.0,16.0,Powell Blvd SB,Thursday
0.0,11.0,Stark/Washington SB,Sunday
0.0,4.0,Foster SB,Friday
0.0,9.0,Airportway EB to SB,Thursday
0.0,12.0,Airportway EB to SB,Thursday
0.0,3.0,Foster NB,Wednesday
0.0,15.0,Stark/Washington SB,Wednesday
1.0,15.0,Glisan to I-205 SB,Saturday
0.0,5.0,Sunnyside SB,Saturday
0.0,19.0,Johnson Cr NB,Sunday
0.0,14.0,Foster NB,Tuesday
0.0,13.0,Airportway WB to SB,Sunday
0.0,12.0,Johnson Cr NB,Saturday
0.0,7.0,Columbia to I-205 SB,Tuesday
0.0,1.0,Columbia to I-205 NB,Thursday
0.0,8.0,Sunnyside SB,Friday
0.0,3.0,Stark/Washington SB,Tuesday
0.0,11.0,Foster SB,Wednesday
0.0,2.0,Johnson Cr NB,Thursday
0.0,8.0,Airportway EB to SB,Sunday
0.0,3.0,Columbia to I-205 SB,Saturday
0.0,12.0,Foster SB,Monday
0.0,16.0,Sunnyside SB,Friday
3.0,11.0,Johnson Creek SB,Thursday
0.0,3.0,Powell to I-205 NB,Thursday
0.0,13.0,Airportway WB to SB,Saturday
0.0,19.0,Sunnyside SB,Sunday
0.0,5.0,Airportway EB to SB,Monday
0.0,2.0,Airportway EB to SB,Friday
0.0,10.0,Airportway WB to SB,Friday
0.0,7.0,Airportway EB to SB,Sunday
0.0,16.0,Columbia to I-205 NB,Tuesday
3.0,9.0,Division NB,Thursday
0.0,5.0,Stark/Washington SB,Wednesday
0.0,19.0,Division NB,Saturday
0.0,9.0,Columbia to I-205 NB,Saturday
1.0,1.0,Johnson Creek SB,Sunday
0.0,9.0,Division SB,Tuesday
1.0,6.0,Columbia to I-205 SB,Monday
1.0,9.0,Division NB,Friday
0.0,1.0,Foster SB,Friday
0.0,6.0,Airportway EB to SB,Thursday
0.0,7.0,Airportway EB to SB,Friday
0.0,15.0,Airportway EB to SB,Saturday
0.0,11.0,Division SB,Monday
0.0,8.0,Division SB,Sunday
0.0,2.0,Powell Blvd SB,Thursday
0.0,19.0,Foster SB,Wednesday
0.0,15.0,Stark/Washington SB,Sunday
0.0,0.0,Airportway EB to SB,Saturday
0.0,12.0,Foster SB,Tuesday
0.0,6.0,Stark/Washington SB,Sunday
1.0,4.0,Airportway WB to SB,Wednesday
0.0,20.0,Foster NB,Sunday
1.0,3.0,Columbia to I-205 SB,Saturday
0.0,17.0,Columbia to I-205 NB,Saturday
0.0,21.0,Powell to I-205 NB,Sunday
0.0,13.0,Columbia to I-205 NB,Tuesday
0.0,0.0,Airportway EB to SB,Thursday
0.0,0.0,Johnson Creek SB,Monday
0.0,19.0,Airportway EB to SB,Sunday
0.0,0.0,Stark/Washington SB,Saturday
0.0,23.0,Stark/Washington SB,Monday
0.0,0.0,Foster SB,Friday
0.0,7.0,Airportway WB to SB,Saturday
0.0,15.0,Foster NB,Saturday
0.0,3.0,Division SB,Sunday
0.0,11.0,Airportway EB to SB,Monday
2.0,11.0,Foster NB,Monday
1.0,10.0,Foster NB,Saturday
0.0,22.0,Foster NB,Tuesday
0.0,6.0,Johnson Creek SB,Friday
0.0,5.0,Foster NB,Saturday
0.0,20.0,Airportway EB to SB,Thursday
1.0,12.0,Sunnyside NB,Thursday
0.0,12.0,Sunnyside SB,Sunday
0.0,21.0,Columbia to I-205 NB,Saturday
0.0,17.0,Johnson Creek SB,Thursday
1.0,12.0,Airportway WB to SB,Tuesday
0.0,20.0,Division SB,Sunday
3.0,9.0,Division NB,Friday
2.0,20.0,Sunnyside NB,Wednesday
0.0,16.0,Airportway WB to SB,Friday
1.0,9.0,Johnson Creek SB,Thursday
4.0,13.0,Division NB,Sunday
0.0,9.0,Columbia to I-205 SB,Saturday
0.0,14.0,Airportway EB to SB,Monday
0.0,12.0,Johnson Creek SB,Monday
0.0,13.0,Foster SB,Thursday
0.0,2.0,Airportway EB to SB,Sunday
0.0,21.0,Division NB,Saturday
0.0,12.0,Foster SB,Wednesday
0.0,1.0,Johnson Cr NB,Thursday
1.0,11.0,Columbia to I-205 NB,Saturday
0.0,9.0,Division SB,Sunday
0.0,7.0,Johnson Cr NB,Friday
0.0,13.0,Foster SB,Sunday
1.0,6.0,Division NB,Monday
0.0,10.0,Division SB,Tuesday
1.0,3.0,Sunnyside NB,Wednesday
0.0,9.0,Foster NB,Friday
0.0,21.0,Johnson Creek SB,Tuesday
0.0,23.0,Stark/Washington SB,Saturday
0.0,10.0,Foster SB,Tuesday
0.0,5.0,Stark/Washington SB,Wednesday
1.0,14.0,Foster NB,Saturday
1.0,9.0,Airportway WB to SB,Thursday
0.0,19.0,Columbia to I-205 NB,Saturday
1.0,1.0,Sunnyside NB,Sunday
0.0,6.0,Foster SB,Thursday
0.0,16.0,Stark/Washington SB,Friday
1.0,10.0,Columbia to I-205 SB,Monday
0.0,3.0,Powell to I-205 NB,Monday
0.0,9.0,Airportway WB to SB,Friday
0.0,11.0,Sunnyside NB,Saturday
0.0,9.0,Sunnyside NB,Saturday
0.0,5.0,Sunnyside SB,Monday
2.0,9.0,Powell Blvd SB,Thursday
1.0,8.0,Stark/Washington SB,Sunday
0.0,13.0,Airportway EB to SB,Tuesday
0.0,4.0,Airportway EB to SB,Monday
0.0,12.0,Foster SB,Friday
2.0,21.0,Sunnyside NB,Sunday
1.0,17.0,Division NB,Monday
0.0,9.0,Airportway EB to SB,Tuesday
0.0,12.0,Sunnyside NB,Saturday
2.0,16.0,Sunnyside NB,Thursday
1.0,7.0,Columbia to I-205 SB,Monday
0.0,20.0,Sunnyside SB,Saturday
1.0,20.0,Powell Blvd SB,Sunday
0.0,23.0,Foster NB,Wednesday
0.0,1.0,Division SB,Saturday
0.0,19.0,Glisan to I-205 SB,Wednesday
0.0,10.0,Stark/Washington SB,Monday
0.0,3.0,Division SB,Wednesday
0.0,0.0,Foster SB,Sunday
5.0,10.0,Powell Blvd SB,Sunday
0.0,20.0,Foster NB,Sunday
0.0,17.0,Foster NB,Saturday
0.0,18.0,Division NB,Friday
0.0,4.0,Airportway EB to SB,Tuesday
0.0,13.0,Johnson Cr NB,Thursday
0.0,20.0,Glisan to I-205 SB,Saturday
0.0,21.0,Johnson Cr NB,Wednesday
0.0,2.0,Division SB,Sunday
0.0,6.0,Airportway WB to SB,Thursday
3.0,11.0,Foster NB,Sunday
0.0,10.0,Powell to I-205 NB,Sunday
0.0,18.0,Columbia to I-205 SB,Tuesday
0.0,14.0,Airportway WB to SB,Thursday
2.0,10.0,Foster NB,Wednesday
2.0,21.0,Sunnyside NB,Wednesday
0.0,13.0,Columbia to I-205 SB,Monday
0.0,9.0,Foster NB,Monday
0.0,3.0,Columbia to I-205 NB,Tuesday
0.0,1.0,Johnson Creek SB,Wednesday
1.0,18.0,Glisan to I-205 SB,Saturday
0.0,7.0,Powell Blvd SB,Saturday
0.0,11.0,Foster SB,Saturday
1.0,17.0,Airportway WB to SB,Thursday
0.0,2.0,Sunnyside NB,Monday
0.0,17.0,Airportway WB to SB,Sunday
0.0,8.0,Foster SB,Wednesday
0.0,21.0,Johnson Cr NB,Saturday
0.0,21.0,Columbia to I-205 SB,Friday
0.0,12.0,Glisan to I-205 SB,Thursday
0.0,1.0,Division NB,Thursday
0.0,4.0,Stark/Washington SB,Sunday
0.0,1.0,Stark/Washington SB,Wednesday
0.0,10.0,Stark/Washington SB,Wednesday
0.0,18.0,Johnson Creek SB,Wednesday
0.0,6.0,Airportway EB to SB,Sunday
0.0,22.0,Columbia to I-205 SB,Tuesday
2.0,11.0,Powell Blvd SB,Monday
1.0,2.0,Sunnyside NB,Wednesday
1.0,11.0,Foster NB,Friday
0.0,1.0,Stark/Washington SB,Wednesday
0.0,21.0,Johnson Creek SB,Thursday
0.0,23.0,Johnson Creek SB,Thursday
1.0,16.0,Foster NB,Sunday
0.0,12.0,Columbia to I-205 NB,Thursday
2.0,5.0,Division NB,Sunday
0.0,22.0,Stark/Washington SB,Saturday
0.0,20.0,Powell Blvd SB,Sunday
0.0,12.0,Powell to I-205 NB,Sunday
0.0,15.0,Airportway EB to SB,Wednesday
0.0,15.0,Powell to I-205 NB,Friday
0.0,12.0,Johnson Cr NB,Thursday
0.0,14.0,Glisan to I-205 SB,Wednesday
0.0,21.0,Foster NB,Saturday
0.0,21.0,Division SB,Saturday
0.0,16.0,Foster SB,Friday
0.0,5.0,Foster SB,Sunday
2.0,4.0,Foster NB,Thursday
0.0,13.0,Sunnyside SB,Thursday
0.0,20.0,Powell to I-205 NB,Monday
0.0,4.0,Airportway EB to SB,Monday
0.0,21.0,Airportway EB to SB,Monday
0.0,23.0,Sunnyside SB,Sunday
1.0,8.0,Powell Blvd SB,Tuesday
0.0,11.0,Sunnyside SB,Wednesday
0.0,22.0,Columbia to I-205 NB,Tuesday
1.0,8.0,Johnson Creek SB,Thursday
0.0,3.0,Foster SB,Wednesday
0.0,20.0,Columbia to I-205 SB,Friday
0.0,7.0,Columbia to I-205 NB,Saturday
0.0,3.0,Stark/Washington SB,Sunday
1.0,6.0,Powell Blvd SB,Saturday
0.0,11.0,Stark/Washington SB,Monday
0.0,5.0,Powell Blvd SB,Tuesday
0.0,10.0,Stark/Washington SB,Sunday
0.0,4.0,Sunnyside SB,Tuesday
0.0,6.0,Foster NB,Sunday
0.0,14.0,Division SB,Thursday
0.0,7.0,Foster SB,Sunday
0.0,18.0,Airportway WB to SB,Wednesday
0.0,18.0,Johnson Cr NB,Thursday
0.0,11.0,Powell to I-205 NB,Wednesday
0.0,7.0,Division SB,Saturday
0.0,8.0,Stark/Washington SB,Thursday
0.0,23.0,Johnson Creek SB,Saturday
0.0,23.0,Powell to I-205 NB,Saturday
0.0,20.0,Johnson Creek SB,Saturday
0.0,10.0,Airportway EB to SB,Wednesday
0.0,16.0,Powell Blvd SB,Friday
0.0,17.0,Division SB,Wednesday
1.0,15.0,Columbia to I-205 SB,Friday
0.0,10.0,Airportway WB to SB,Sunday
0.0,7.0,Stark/Washington SB,Friday
0.0,9.0,Airportway WB to SB,Monday
1.0,6.0,Foster NB,Wednesday
2.0,7.0,Powell Blvd SB,Saturday
0.0,22.0,Glisan to I-205 SB,Thursday
0.0,13.0,Columbia to I-205 NB,Thursday
0.0,13.0,Columbia to I-205 SB,Wednesday
0.0,1.0,Airportway WB to SB,Thursday
1.0,8.0,Airportway WB to SB,Sunday
0.0,18.0,Division SB,Monday
1.0,16.0,Foster NB,Sunday
0.0,23.0,Division NB,Wednesday
0.0,8.0,Johnson Cr NB,Wednesday
0.0,12.0,Powell to I-205 NB,Saturday
0.0,4.0,Division NB,Thursday
0.0,6.0,Sunnyside NB,Tuesday
1.0,12.0,Division NB,Friday
0.0,6.0,Columbia to I-205 NB,Sunday
0.0,4.0,Foster SB,Friday
0.0,16.0,Airportway WB to SB,Wednesday
0.0,10.0,Division SB,Wednesday
0.0,4.0,Foster SB,Monday
1.0,16.0,Division SB,Saturday
1.0,3.0,Columbia to I-205 SB,Wednesday
1.0,7.0,Division NB,Tuesday
0.0,14.0,Sunnyside SB,Sunday
0.0,2.0,Airportway WB to SB,Tuesday
1.0,23.0,Johnson Creek SB,Saturday
0.0,8.0,Sunnyside SB,Tuesday
0.0,18.0,Johnson Cr NB,Wednesday
0.0,23.0,Columbia to I-205 NB,Saturday
0.0,20.0,Division SB,Wednesday
0.0,3.0,Sunnyside SB,Friday
0.0,18.0,Foster NB,Tuesday
0.0,6.0,Johnson Cr NB,Sunday
0.0,7.0,Division SB,Monday
0.0,22.0,Johnson Creek SB,Thursday
0.0,18.0,Foster SB,Wednesday
0.0,13.0,Foster NB,Wednesday
0.0,11.0,Division SB,Monday
0.0,22.0,Johnson Cr NB,Sunday
0.0,19.0,Powell to I-205 NB,Friday
0.0,10.0,Johnson Cr NB,Thursday
0.0,19.0,Foster NB,Thursday
0.0,18.0,Johnson Creek SB,Monday
0.0,1.0,Powell to I-205 NB,Wednesday
0.0,15.0,Sunnyside SB,Friday
0.0,3.0,Airportway WB to SB,Sunday
0.0,19.0,Airportway WB to SB,Wednesday
0.0,19.0,Division SB,Thursday
0.0,4.0,Johnson Cr NB,Wednesday
0.0,1.0,Johnson Cr NB,Tuesday
1.0,13.0,Johnson Cr NB,Saturday
0.0,12.0,Johnson Cr NB,Sunday
4.0,19.0,Sunnyside NB,Monday
0.0,4.0,Columbia to I-205 NB,Saturday
0.0,21.0,Foster SB,Thursday
0.0,3.0,Powell to I-205 NB,Thursday
0.0,5.0,Powell Blvd SB,Friday
0.0,13.0,Division SB,Tuesday
1.0,13.0,Sunnyside NB,Saturday
0.0,0.0,Airportway EB to SB,Monday
0.0,14.0,Powell Blvd SB,Monday
1.0,3.0,Powell to I-205 NB,Tuesday
0.0,1.0,Foster SB,Monday
0.0,8.0,Powell to I-205 NB,Sunday
0.0,0.0,Johnson Creek SB,Sunday
0.0,20.0,Airportway EB to SB,Friday
0.0,20.0,Foster NB,Tuesday
0.0,4.0,Glisan to I-205 SB,Monday
0.0,20.0,Columbia to I-205 SB,Thursday
0.0,21.0,Airportway EB to SB,Sunday
0.0,18.0,Johnson Creek SB,Tuesday
0.0,18.0,Stark/Washington SB,Sunday
0.0,0.0,Division NB,Tuesday
0.0,14.0,Division NB,Friday
0.0,17.0,Foster NB,Friday
1.0,3.0,Sunnyside NB,Thursday
0.0,0.0,Division NB,Monday
0.0,6.0,Foster SB,Sunday
2.0,6.0,Division NB,Tuesday
0.0,8.0,Columbia to I-205 NB,Wednesday
0.0,9.0,Airportway EB to SB,Wednesday
0.0,3.0,Johnson Cr NB,Monday
0.0,18.0,Columbia to I-205 SB,Friday
0.0,9.0,Glisan to I-205 SB,Tuesday
0.0,5.0,Columbia to I-205 NB,Wednesday
0.0,20.0,Columbia to I-205 NB,Sunday
0.0,20.0,Johnson Creek SB,Friday
0.0,19.0,Stark/Washington SB,Tuesday
0.0,7.0,Johnson Cr NB,Tuesday
0.0,14.0,Airportway EB to SB,Tuesday
0.0,20.0,Airportway WB to SB,Thursday
0.0,19.0,Columbia to I-205 SB,Monday
0.0,19.0,Foster NB,Thursday
0.0,3.0,Johnson Cr NB,Thursday
1.0,6.0,Glisan to I-205 SB,Sunday
0.0,4.0,Columbia to I-205 SB,Friday
1.0,16.0,Sunnyside NB,Tuesday
0.0,4.0,Airportway WB to SB,Tuesday
1.0,3.0,Division NB,Friday
0.0,11.0,Johnson Creek SB,Saturday
2.0,12.0,Sunnyside SB,Friday
0.0,19.0,Columbia to I-205 SB,Friday
1.0,17.0,Foster NB,Saturday
0.0,10.0,Glisan to I-205 SB,Thursday
2.0,18.0,Foster NB,Sunday
0.0,1.0,Powell to I-205 NB,Thursday
1.0,8.0,Columbia to I-205 SB,Friday
0.0,4.0,Division NB,Wednesday
1.0,17.0,Airportway WB to SB,Sunday
0.0,18.0,Sunnyside SB,Tuesday
3.0,10.0,Powell to I-205 NB,Sunday
1.0,11.0,Glisan to I-205 SB,Saturday
0.0,11.0,Airportway WB to SB,Friday
0.0,4.0,Johnson Creek SB,Sunday
0.0,10.0,Glisan to I-205 SB,Saturday
1.0,8.0,Glisan to I-205 SB,Wednesday
